Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Run Interation 2,Chrome 90.0.4430.212,,,2021-05-28 17:39:54,2021-05-28 18:06:20,26m - 26.641s,FAILED
,,,,,,,
Test Cases/Chat,Chrome 90.0.4430.212,,,2021-05-28 17:39:56,2021-05-28 17:40:50,54.390s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 17:39:57,2021-05-28 17:40:01,3.904s,PASSED
"navigateToUrl(""https://cdnc-group2.herokuapp.com/"")",Chrome 90.0.4430.212,,,2021-05-28 17:40:01,2021-05-28 17:40:06,5.319s,PASSED
"setText(findTestObject(""Object Repository/Chat_Mattermose_OR/Page_Mattermost/input_All team communication in one place, _dcc84b""), ""ngoctin040999@gmail.com"")",Chrome 90.0.4430.212,,,2021-05-28 17:40:06,2021-05-28 17:40:11,5.294s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Chat_Mattermose_OR/Page_Mattermost/input_All team communication in one place, _a3edc6""), ""S8w1SJvl7D1hts9IdMV+NQ=="")",Chrome 90.0.4430.212,,,2021-05-28 17:40:11,2021-05-28 17:40:12,0.649s,PASSED
"sendKeys(findTestObject(""Object Repository/Chat_Mattermose_OR/Page_Mattermost/input_All team communication in one place, _a3edc6""), Keys.chord(ENTER))",Chrome 90.0.4430.212,,,2021-05-28 17:40:12,2021-05-28 17:40:12,0.492s,PASSED
"click(findTestObject(""Object Repository/Chat_Mattermose_OR/Page_Town Square - TOKEN Mattermost/span_Test 77777""))",Chrome 90.0.4430.212,,,2021-05-28 17:40:12,2021-05-28 17:40:50,37.923s,FAILED
,,,,,,,
Test Cases/Login,Chrome 90.0.4430.212,,,2021-05-28 17:40:50,2021-05-28 17:41:09,18.338s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 17:40:51,2021-05-28 17:40:54,2.684s,PASSED
"navigateToUrl(""https://cdnc-group2.herokuapp.com/"")",Chrome 90.0.4430.212,,,2021-05-28 17:40:54,2021-05-28 17:40:58,4.142s,PASSED
"setText(findTestObject(""Login_Mattermost_OR/input_All team communication in one place, _dcc84b""), Username)",Chrome 90.0.4430.212,,,2021-05-28 17:40:58,2021-05-28 17:41:03,5.058s,PASSED
"setText(findTestObject(""Login_Mattermost_OR/input_All team communication in one place, _a3edc6""), Password)",Chrome 90.0.4430.212,,,2021-05-28 17:41:03,2021-05-28 17:41:04,0.816s,PASSED
"click(findTestObject(""Login_Mattermost_OR/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 17:41:04,2021-05-28 17:41:04,0.557s,PASSED
"if (Username != ""ngoctin040999@gmail.com"")",Chrome 90.0.4430.212,,,2021-05-28 17:41:04,2021-05-28 17:41:04,0.001s,PASSED
else,Chrome 90.0.4430.212,,,2021-05-28 17:41:04,2021-05-28 17:41:08,3.720s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 17:41:08,2021-05-28 17:41:09,0.821s,PASSED
,,,,,,,
Test Cases/Login,Chrome 90.0.4430.212,,,2021-05-28 17:41:09,2021-05-28 17:41:23,14.610s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 17:41:09,2021-05-28 17:41:11,1.890s,PASSED
"navigateToUrl(""https://cdnc-group2.herokuapp.com/"")",Chrome 90.0.4430.212,,,2021-05-28 17:41:11,2021-05-28 17:41:15,4.245s,PASSED
"setText(findTestObject(""Login_Mattermost_OR/input_All team communication in one place, _dcc84b""), Username)",Chrome 90.0.4430.212,,,2021-05-28 17:41:15,2021-05-28 17:41:20,5.135s,PASSED
"setText(findTestObject(""Login_Mattermost_OR/input_All team communication in one place, _a3edc6""), Password)",Chrome 90.0.4430.212,,,2021-05-28 17:41:20,2021-05-28 17:41:21,0.856s,PASSED
"click(findTestObject(""Login_Mattermost_OR/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 17:41:21,2021-05-28 17:41:22,0.572s,PASSED
"if (Username != ""ngoctin040999@gmail.com"")",Chrome 90.0.4430.212,,,2021-05-28 17:41:22,2021-05-28 17:41:23,1.089s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 17:41:23,2021-05-28 17:41:23,0.799s,PASSED
,,,,,,,
Test Cases/Login,Chrome 90.0.4430.212,,,2021-05-28 17:41:24,2021-05-28 17:41:38,14.148s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 17:41:24,2021-05-28 17:41:25,1.775s,PASSED
"navigateToUrl(""https://cdnc-group2.herokuapp.com/"")",Chrome 90.0.4430.212,,,2021-05-28 17:41:25,2021-05-28 17:41:30,4.279s,PASSED
"setText(findTestObject(""Login_Mattermost_OR/input_All team communication in one place, _dcc84b""), Username)",Chrome 90.0.4430.212,,,2021-05-28 17:41:30,2021-05-28 17:41:35,5.063s,PASSED
"setText(findTestObject(""Login_Mattermost_OR/input_All team communication in one place, _a3edc6""), Password)",Chrome 90.0.4430.212,,,2021-05-28 17:41:35,2021-05-28 17:41:36,0.849s,PASSED
"click(findTestObject(""Login_Mattermost_OR/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 17:41:36,2021-05-28 17:41:36,0.588s,PASSED
"if (Username != ""ngoctin040999@gmail.com"")",Chrome 90.0.4430.212,,,2021-05-28 17:41:36,2021-05-28 17:41:37,0.771s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 17:41:37,2021-05-28 17:41:38,0.808s,PASSED
,,,,,,,
Test Cases/Login,Chrome 90.0.4430.212,,,2021-05-28 17:41:38,2021-05-28 17:41:55,16.851s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 17:41:38,2021-05-28 17:41:40,1.778s,PASSED
"navigateToUrl(""https://cdnc-group2.herokuapp.com/"")",Chrome 90.0.4430.212,,,2021-05-28 17:41:40,2021-05-28 17:41:46,6.885s,PASSED
"setText(findTestObject(""Login_Mattermost_OR/input_All team communication in one place, _dcc84b""), Username)",Chrome 90.0.4430.212,,,2021-05-28 17:41:46,2021-05-28 17:41:52,5.102s,PASSED
"setText(findTestObject(""Login_Mattermost_OR/input_All team communication in one place, _a3edc6""), Password)",Chrome 90.0.4430.212,,,2021-05-28 17:41:52,2021-05-28 17:41:52,0.819s,PASSED
"click(findTestObject(""Login_Mattermost_OR/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 17:41:52,2021-05-28 17:41:53,0.625s,PASSED
"if (Username != ""ngoctin040999@gmail.com"")",Chrome 90.0.4430.212,,,2021-05-28 17:41:53,2021-05-28 17:41:54,0.809s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 17:41:54,2021-05-28 17:41:55,0.796s,PASSED
,,,,,,,
Test Cases/Login,Chrome 90.0.4430.212,,,2021-05-28 17:41:55,2021-05-28 17:42:08,13.424s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 17:41:55,2021-05-28 17:41:56,1.778s,PASSED
"navigateToUrl(""https://cdnc-group2.herokuapp.com/"")",Chrome 90.0.4430.212,,,2021-05-28 17:41:56,2021-05-28 17:42:01,4.238s,PASSED
"setText(findTestObject(""Login_Mattermost_OR/input_All team communication in one place, _dcc84b""), Username)",Chrome 90.0.4430.212,,,2021-05-28 17:42:01,2021-05-28 17:42:05,3.998s,PASSED
"setText(findTestObject(""Login_Mattermost_OR/input_All team communication in one place, _a3edc6""), Password)",Chrome 90.0.4430.212,,,2021-05-28 17:42:05,2021-05-28 17:42:06,0.987s,PASSED
"click(findTestObject(""Login_Mattermost_OR/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 17:42:06,2021-05-28 17:42:06,0.568s,PASSED
"if (Username != ""ngoctin040999@gmail.com"")",Chrome 90.0.4430.212,,,2021-05-28 17:42:06,2021-05-28 17:42:07,1.023s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 17:42:07,2021-05-28 17:42:08,0.814s,PASSED
,,,,,,,
Test Cases/Login,Chrome 90.0.4430.212,,,2021-05-28 17:42:08,2021-05-28 17:42:25,16.559s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 17:42:08,2021-05-28 17:42:10,1.767s,PASSED
"navigateToUrl(""https://cdnc-group2.herokuapp.com/"")",Chrome 90.0.4430.212,,,2021-05-28 17:42:10,2021-05-28 17:42:14,3.915s,PASSED
"setText(findTestObject(""Login_Mattermost_OR/input_All team communication in one place, _dcc84b""), Username)",Chrome 90.0.4430.212,,,2021-05-28 17:42:14,2021-05-28 17:42:22,8.211s,PASSED
"setText(findTestObject(""Login_Mattermost_OR/input_All team communication in one place, _a3edc6""), Password)",Chrome 90.0.4430.212,,,2021-05-28 17:42:22,2021-05-28 17:42:23,0.813s,PASSED
"click(findTestObject(""Login_Mattermost_OR/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 17:42:23,2021-05-28 17:42:23,0.448s,PASSED
"if (Username != ""ngoctin040999@gmail.com"")",Chrome 90.0.4430.212,,,2021-05-28 17:42:23,2021-05-28 17:42:24,0.479s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 17:42:24,2021-05-28 17:42:25,0.813s,PASSED
,,,,,,,
Test Cases/UpdateFullNameAccount,Chrome 90.0.4430.212,,,2021-05-28 17:42:25,2021-05-28 17:42:46,21.050s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 17:42:25,2021-05-28 17:42:27,1.752s,PASSED
"navigateToUrl(""https://cdnc-group2.herokuapp.com/"")",Chrome 90.0.4430.212,,,2021-05-28 17:42:27,2021-05-28 17:42:31,3.919s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), ""ngoctin040999@gmail.com"")",Chrome 90.0.4430.212,,,2021-05-28 17:42:31,2021-05-28 17:42:36,5.411s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), ""S8w1SJvl7D1hts9IdMV+NQ=="")",Chrome 90.0.4430.212,,,2021-05-28 17:42:36,2021-05-28 17:42:37,0.593s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 17:42:37,2021-05-28 17:42:37,0.581s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - Team Mattermost/span""))",Chrome 90.0.4430.212,,,2021-05-28 17:42:37,2021-05-28 17:42:41,3.802s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - Team Mattermost/button_Account Settings""))",Chrome 90.0.4430.212,,,2021-05-28 17:42:41,2021-05-28 17:42:42,0.591s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - Team Mattermost/button_Edit""))",Chrome 90.0.4430.212,,,2021-05-28 17:42:42,2021-05-28 17:42:42,0.665s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - Team Mattermost/input_First Name_firstName""), ""Tin"")",Chrome 90.0.4430.212,,,2021-05-28 17:42:42,2021-05-28 17:42:43,0.832s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - Team Mattermost/input_Last Name_lastName""), ""Nguyen Ngoc"")",Chrome 90.0.4430.212,,,2021-05-28 17:42:43,2021-05-28 17:42:44,0.810s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - Team Mattermost/span_Save""))",Chrome 90.0.4430.212,,,2021-05-28 17:42:44,2021-05-28 17:42:44,0.402s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - Team Mattermost/button_Close""))",Chrome 90.0.4430.212,,,2021-05-28 17:42:44,2021-05-28 17:42:45,0.493s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 17:42:45,2021-05-28 17:42:46,0.807s,PASSED
,,,,,,,
Test Cases/UpdateMemberRole,Chrome 90.0.4430.212,,,2021-05-28 17:42:46,2021-05-28 17:43:36,50.077s,FAILED
"openBrowser(""https://cdnc-group2.herokuapp.com/"")",Chrome 90.0.4430.212,,,2021-05-28 17:42:46,2021-05-28 17:42:52,5.928s,PASSED
"setText(findTestObject(""Login/input_Email""), ""ngoctin040999@gmail.com"")",Chrome 90.0.4430.212,,,2021-05-28 17:42:52,2021-05-28 17:42:57,4.923s,PASSED
"setText(findTestObject(""Login/input_Password""), ""ngoctin1"")",Chrome 90.0.4430.212,,,2021-05-28 17:42:57,2021-05-28 17:42:58,0.940s,PASSED
"click(findTestObject(""Login/button_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 17:42:58,2021-05-28 17:42:59,0.537s,PASSED
delay(2),Chrome 90.0.4430.212,,,2021-05-28 17:42:59,2021-05-28 17:43:01,2.048s,PASSED
"click(findTestObject(""UpdatePassword/button_Option""))",Chrome 90.0.4430.212,,,2021-05-28 17:43:01,2021-05-28 17:43:02,1.763s,PASSED
"click(findTestObject(""Update Member Role/button_Manage Members""))",Chrome 90.0.4430.212,,,2021-05-28 17:43:02,2021-05-28 17:43:03,0.601s,PASSED
"click(findTestObject(""Update Member Role/button_Member""))",Chrome 90.0.4430.212,,,2021-05-28 17:43:03,2021-05-28 17:43:36,32.827s,FAILED
,,,,,,,
Test Cases/UpdateUsernameAccount,Chrome 90.0.4430.212,,,2021-05-28 17:43:36,2021-05-28 17:43:58,22.530s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 17:43:36,2021-05-28 17:43:39,2.510s,PASSED
"navigateToUrl(""https://cdnc-group2.herokuapp.com/"")",Chrome 90.0.4430.212,,,2021-05-28 17:43:39,2021-05-28 17:43:43,4.080s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), ""ngoctin040999@gmail.com"")",Chrome 90.0.4430.212,,,2021-05-28 17:43:43,2021-05-28 17:43:49,6.345s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), ""S8w1SJvl7D1hts9IdMV+NQ=="")",Chrome 90.0.4430.212,,,2021-05-28 17:43:49,2021-05-28 17:43:50,0.598s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/button_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 17:43:50,2021-05-28 17:43:50,0.570s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - TOKEN_UPDATED Mattermost/button_ngoctin02806_style--none sidebar-hea_8af0e1""))",Chrome 90.0.4430.212,,,2021-05-28 17:43:50,2021-05-28 17:43:54,3.844s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - TOKEN_UPDATED Mattermost/button_Account Settings""))",Chrome 90.0.4430.212,,,2021-05-28 17:43:54,2021-05-28 17:43:55,0.572s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - TOKEN_UPDATED Mattermost/span_Edit""))",Chrome 90.0.4430.212,,,2021-05-28 17:43:55,2021-05-28 17:43:56,0.698s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - TOKEN_UPDATED Mattermost/input_Username_username""), ""ngoctin12345"")",Chrome 90.0.4430.212,,,2021-05-28 17:43:56,2021-05-28 17:43:56,0.889s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - TOKEN_UPDATED Mattermost/button_Save""))",Chrome 90.0.4430.212,,,2021-05-28 17:43:56,2021-05-28 17:43:57,0.394s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - TOKEN_UPDATED Mattermost/button_Close""))",Chrome 90.0.4430.212,,,2021-05-28 17:43:57,2021-05-28 17:43:57,0.578s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 17:43:57,2021-05-28 17:43:58,0.891s,PASSED
,,,,,,,
Test Cases/EditClockDiplsy,Chrome 90.0.4430.212,,,2021-05-28 17:43:58,2021-05-28 17:44:23,24.561s,PASSED
"openBrowser(""https://cdnc-group2.herokuapp.com/"")",Chrome 90.0.4430.212,,,2021-05-28 17:43:59,2021-05-28 17:44:04,5.708s,PASSED
"setText(findTestObject(""Login/input_Email""), ""ngoctin040999@gmail.com"")",Chrome 90.0.4430.212,,,2021-05-28 17:44:04,2021-05-28 17:44:09,4.926s,PASSED
"setText(findTestObject(""Login/input_Password""), ""ngoctin1"")",Chrome 90.0.4430.212,,,2021-05-28 17:44:09,2021-05-28 17:44:10,0.852s,PASSED
"click(findTestObject(""Login/button_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 17:44:10,2021-05-28 17:44:11,0.599s,PASSED
delay(2),Chrome 90.0.4430.212,,,2021-05-28 17:44:11,2021-05-28 17:44:13,2.005s,PASSED
"click(findTestObject(""UpdatePassword/button_Option""))",Chrome 90.0.4430.212,,,2021-05-28 17:44:13,2021-05-28 17:44:15,2.263s,PASSED
"click(findTestObject(""UpdatePassword/button_Account Settings""))",Chrome 90.0.4430.212,,,2021-05-28 17:44:15,2021-05-28 17:44:16,0.600s,PASSED
"click(findTestObject(""Edit Theme/button_Display""))",Chrome 90.0.4430.212,,,2021-05-28 17:44:16,2021-05-28 17:44:16,0.762s,PASSED
"click(findTestObject(""Edit Clock Display/button_Edit""))",Chrome 90.0.4430.212,,,2021-05-28 17:44:16,2021-05-28 17:44:17,1.050s,PASSED
"click(findTestObject(""Edit Clock Display/input_Clock Display_24""))",Chrome 90.0.4430.212,,,2021-05-28 17:44:17,2021-05-28 17:44:18,0.546s,PASSED
"click(findTestObject(""Edit Clock Display/button_Save""))",Chrome 90.0.4430.212,,,2021-05-28 17:44:18,2021-05-28 17:44:19,0.571s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-28 17:44:19,2021-05-28 17:44:20,1.004s,PASSED
"click(findTestObject(""Edit Clock Display/button_Edit""))",Chrome 90.0.4430.212,,,2021-05-28 17:44:20,2021-05-28 17:44:20,0.410s,PASSED
"click(findTestObject(""Edit Clock Display/input_Clock Display_12""))",Chrome 90.0.4430.212,,,2021-05-28 17:44:20,2021-05-28 17:44:21,0.566s,PASSED
"click(findTestObject(""Edit Clock Display/button_Save""))",Chrome 90.0.4430.212,,,2021-05-28 17:44:21,2021-05-28 17:44:21,0.442s,PASSED
delay(1),Chrome 90.0.4430.212,,,2021-05-28 17:44:21,2021-05-28 17:44:22,1.005s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 17:44:22,2021-05-28 17:44:23,0.861s,PASSED
,,,,,,,
Test Cases/EditSideBar,Chrome 90.0.4430.212,,,2021-05-28 17:44:23,2021-05-28 17:44:48,24.955s,PASSED
"openBrowser(""https://cdnc-group2.herokuapp.com/"")",Chrome 90.0.4430.212,,,2021-05-28 17:44:23,2021-05-28 17:44:30,6.247s,PASSED
"setText(findTestObject(""Login/input_Email""), ""ngoctin040999@gmail.com"")",Chrome 90.0.4430.212,,,2021-05-28 17:44:30,2021-05-28 17:44:35,5.592s,PASSED
"setText(findTestObject(""Login/input_Password""), ""ngoctin1"")",Chrome 90.0.4430.212,,,2021-05-28 17:44:35,2021-05-28 17:44:36,0.849s,PASSED
"click(findTestObject(""Login/button_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 17:44:36,2021-05-28 17:44:37,0.552s,PASSED
